lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-7909315.25445878,-4123968.92404019,node/6388391838,node/6388391838,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909317.62556393,-4123972.18744333,node/6388391839,node/6388391839,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909323.94851101,-4123965.13253567,node/6388391840,node/6388391840,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909325.8743382,-4123967.94908176,node/6388391841,node/6388391841,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909334.55725848,-4123982.19431614,node/6388391842,node/6388391842,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909336.21591889,-4123985.13273651,node/6388391843,node/6388391843,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909326.4643315,-4123986.10769643,node/6388391844,node/6388391844,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909275.51340056,-4124032.67567276,node/6388400687,node/6388400687,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909277.63960284,-4124040.42122293,node/6388400688,node/6388400688,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909287.04609981,-4124025.03845721,node/6388400689,node/6388400689,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
