lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-71.0333901,-34.7045845,node/6144085202,node/6144085202,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0334545,-34.7046534,node/6144085203,node/6144085203,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0333696,-34.7046922,node/6144085204,node/6144085204,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0333494,-34.7047076,node/6144085205,node/6144085205,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0333191,-34.7047255,node/6144085206,node/6144085206,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0332377,-34.7047642,node/6144085207,node/6144085207,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0333321,-34.7047158,node/6144085208,node/6144085208,Chimbarongo,El Bosque,avenue,,,tree,,,,,,,
-71.0333155,-34.7046233,node/6144085209,node/6144085209,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0332424,-34.7046622,node/6144085210,node/6144085210,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0331623,-34.7046973,node/6144085211,node/6144085211,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0330915,-34.7047363,node/6144085212,node/6144085212,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0331424,-34.7047084,node/6144085213,node/6144085213,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Maytenus,Maytenus boaria,Maitén,,,,
-71.0331196,-34.7047204,node/6144085214,node/6144085214,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Maytenus,Maytenus boaria,Maitén,,,,
-71.0328497,-34.7058661,node/6144092900,node/6144092900,Chimbarongo,,street,deciduous,broadleaved,tree,Quillaja,Quillaja saponaria,,,,,
-71.0328724,-34.7058927,node/6144092901,node/6144092901,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,Küllay,,,
-71.0328893,-34.7059259,node/6144092902,node/6144092902,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,Küllay,,,
-71.0331568,-34.7048016,node/6144105923,node/6144105923,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0330866,-34.704834,node/6144105924,node/6144105924,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0330385,-34.7047459,node/6144105925,node/6144105925,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,,,,,,,
-71.0330114,-34.7047707,node/6144105926,node/6144105926,Chimbarongo,El Bosque,avenue,,broadleaved,tree,Ligustrum,Ligustrum lucidum,Ligustro,,,,
-71.0329145,-34.7048157,node/6144105927,node/6144105927,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acer,Acer negundo,Arce negundo,,,,
-71.0329999,-34.7048636,node/6144105928,node/6144105928,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0329245,-34.7048998,node/6144105929,node/6144105929,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.032855,-34.7049333,node/6144105930,node/6144105930,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0327519,-34.7048982,node/6144105932,node/6144105932,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0324793,-34.7051256,node/6144105933,node/6144105933,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0324022,-34.7051554,node/6144105934,node/6144105934,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.032463,-34.7051679,node/6144105935,node/6144105935,Chimbarongo,El Bosque,garden,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0321392,-34.7051871,node/6144105936,node/6144105936,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0322747,-34.7051122,node/6144105937,node/6144105937,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,,,,,,,
-71.0323133,-34.7050997,node/6144119050,node/6144119050,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Maytenus,Maytenus boaria,Maitén,,,,
-71.0323391,-34.705092,node/6144119051,node/6144119051,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0323881,-34.705067,node/6144119052,node/6144119052,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0324567,-34.705039,node/6144119053,node/6144119053,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0325289,-34.7050091,node/6144119054,node/6144119054,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0324272,-34.7050473,node/6144119055,node/6144119055,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia dealbata,Aromo de Castilla,,,,
-71.032646,-34.7050346,node/6144119056,node/6144119056,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,,,,,,,
-71.0326825,-34.7050211,node/6144119057,node/6144119057,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,,,,,,,
-71.0328001,-34.7050158,node/6144119058,node/6144119058,Chimbarongo,El Bosque,garden,deciduous,broadleaved,tree,Populus,Populus alba,Álamo,,,,
-71.0326825,-34.7049266,node/6144119059,node/6144119059,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0322433,-34.7052167,node/6144162189,node/6144162189,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0321765,-34.7052533,node/6144162190,node/6144162190,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0320966,-34.7052961,node/6144162191,node/6144162191,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0320216,-34.7053295,node/6144162192,node/6144162192,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0319474,-34.7053738,node/6144162193,node/6144162193,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0322312,-34.7052762,node/6144162194,node/6144162194,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0321817,-34.7052975,node/6144162195,node/6144162195,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0321456,-34.7053195,node/6144162196,node/6144162196,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0320031,-34.7053806,node/6144162197,node/6144162197,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0320351,-34.7053917,node/6144162198,node/6144162198,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0320588,-34.7052228,node/6144162199,node/6144162199,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,Küllay,,,
-71.0320392,-34.7052347,node/6144162200,node/6144162200,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0320207,-34.7052449,node/6144162201,node/6144162201,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
