"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"mapdeck",12,33,12,27,12,27,2,16,"https://img.shields.io/badge/dependencies-12/27-red?style=flat"
"mapedit",16,116,15,107,15,100,4,4,"https://img.shields.io/badge/dependencies-15/100-red?style=flat"
"mapfit",2,8,1,2,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MapGAM",5,18,5,11,4,6,0,0,"https://img.shields.io/badge/dependencies-4/6-green?style=flat"
"mapi",5,20,4,12,4,9,0,0,"https://img.shields.io/badge/dependencies-4/9-green?style=flat"
"Mapinguari",8,50,7,42,7,41,0,0,"https://img.shields.io/badge/dependencies-7/41-orange?style=flat"
"MAPLES",1,11,1,4,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mapmisc",7,10,2,4,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"mapplots",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mapproj",3,4,1,1,1,1,18,46,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"mapr",9,116,9,108,9,102,0,0,"https://img.shields.io/badge/dependencies-9/102-orange?style=flat"
"mapReasy",3,84,3,76,3,66,0,0,"https://img.shields.io/badge/dependencies-3/66-green?style=flat"
"maps",2,2,0,0,0,0,70,337,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mapsapi",6,28,6,20,6,16,0,0,"https://img.shields.io/badge/dependencies-6/16-orange?style=flat"
"mapsFinland",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mapsRinteractive",5,18,5,12,5,11,0,0,"https://img.shields.io/badge/dependencies-5/11-orange?style=flat"
"mapStats",9,95,9,87,8,75,0,0,"https://img.shields.io/badge/dependencies-8/75-orange?style=flat"
