"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"fitDRC",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fitHeavyTail",3,19,2,12,2,9,0,0,"https://img.shields.io/badge/dependencies-2/9-green?style=flat"
"fitODBOD",3,18,2,11,2,8,0,0,"https://img.shields.io/badge/dependencies-2/8-green?style=flat"
"fitplc",2,67,2,58,1,50,0,0,"https://img.shields.io/badge/dependencies-1/50-green?style=flat"
"fitPoly",1,4,1,3,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"FITSio",0,0,0,0,0,0,3,3,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fitteR",9,52,5,45,5,44,0,0,"https://img.shields.io/badge/dependencies-5/44-orange?style=flat"
"fitTetra",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FitUltD",10,62,8,54,7,48,0,0,"https://img.shields.io/badge/dependencies-7/48-orange?style=flat"
"fitur",10,80,9,72,9,65,0,0,"https://img.shields.io/badge/dependencies-9/65-orange?style=flat"
"fitzRoy",15,45,15,40,15,40,0,0,"https://img.shields.io/badge/dependencies-15/40-red?style=flat"
"fivethirtyeight",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FixedPoint",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fixedTimeEvents",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fixerapi",3,30,3,25,3,25,0,0,"https://img.shields.io/badge/dependencies-3/25-green?style=flat"
"fixest",9,12,5,6,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"FixSeqMTP",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fizzbuzzR",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FKF",2,4,1,1,1,1,1,2,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FKSUM",4,14,4,8,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"flacco",3,65,3,56,3,50,0,0,"https://img.shields.io/badge/dependencies-3/50-green?style=flat"
"flagr",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flair",9,72,9,64,9,59,0,0,"https://img.shields.io/badge/dependencies-9/59-orange?style=flat"
"flam",5,7,2,2,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FLAME",9,102,9,95,9,91,0,0,"https://img.shields.io/badge/dependencies-9/91-orange?style=flat"
"flamingos",4,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"flan",4,6,3,3,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"flars",6,13,5,6,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"flashClust",0,0,0,0,0,0,2,51,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flashlight",10,110,8,101,7,92,0,0,"https://img.shields.io/badge/dependencies-7/92-orange?style=flat"
"flatr",4,27,3,22,3,22,0,0,"https://img.shields.io/badge/dependencies-3/22-green?style=flat"
"flatxml",2,4,2,3,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"flexclust",9,12,3,4,1,1,12,22,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flexCWM",7,94,4,84,4,73,0,0,"https://img.shields.io/badge/dependencies-4/73-green?style=flat"
"flexdashboard",7,35,6,30,6,30,2,2,"https://img.shields.io/badge/dependencies-6/30-orange?style=flat"
"FlexDir",4,4,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FlexGAM",7,13,4,6,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flexmet",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flexmix",10,10,3,3,1,1,10,53,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flexmixNL",5,16,2,9,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"FlexParamCurve",3,7,1,2,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flexrsurv",9,27,6,20,5,14,0,0,"https://img.shields.io/badge/dependencies-5/14-orange?style=flat"
"FlexScan",5,51,3,42,3,33,0,0,"https://img.shields.io/badge/dependencies-3/33-green?style=flat"
"flexsurv",9,41,9,33,8,30,9,10,"https://img.shields.io/badge/dependencies-8/30-orange?style=flat"
"flexsurvcure",3,43,3,35,2,32,1,1,"https://img.shields.io/badge/dependencies-2/32-green?style=flat"
"flextable",14,33,10,27,10,27,20,24,"https://img.shields.io/badge/dependencies-10/27-red?style=flat"
"FlickrAPI",4,11,4,7,4,7,0,0,"https://img.shields.io/badge/dependencies-4/7-green?style=flat"
"flifo",2,16,2,12,2,11,0,0,"https://img.shields.io/badge/dependencies-2/11-green?style=flat"
"flightplanning",6,10,3,4,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"FLightR",19,105,17,96,15,87,0,0,"https://img.shields.io/badge/dependencies-15/87-red?style=flat"
"flip",5,18,4,12,4,8,2,2,"https://img.shields.io/badge/dependencies-4/8-green?style=flat"
"flippant",15,69,14,61,14,55,0,0,"https://img.shields.io/badge/dependencies-14/55-red?style=flat"
"flipscores",2,2,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FLLat",3,10,1,6,1,5,0,0,"https://img.shields.io/badge/dependencies-1/5-green?style=flat"
"float",3,3,0,0,0,0,3,13,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flobr",4,11,3,8,3,8,1,1,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"flock",2,3,1,1,1,1,2,11,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flood",4,69,4,60,4,55,0,0,"https://img.shields.io/badge/dependencies-4/55-green?style=flat"
"FloodMapper",4,14,4,8,4,7,0,0,"https://img.shields.io/badge/dependencies-4/7-green?style=flat"
"flora",5,35,4,30,4,30,0,0,"https://img.shields.io/badge/dependencies-4/30-green?style=flat"
"flowDiv",10,60,5,52,5,46,0,0,"https://img.shields.io/badge/dependencies-5/46-orange?style=flat"
"flower",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flowfield",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flowr",6,10,3,4,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"FlowRegEnvCost",1,7,1,2,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flows",5,19,3,12,3,10,0,0,"https://img.shields.io/badge/dependencies-3/10-green?style=flat"
"FlowScreen",7,13,3,7,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"FLR",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flsa",0,0,0,0,0,0,1,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FLSSS",2,4,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"FluMoDL",6,15,3,8,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"fluoSurv",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Flury",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fluspect",2,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"flux",1,2,1,2,1,2,4,4,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"fluxweb",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"flying",5,62,4,56,4,56,0,0,"https://img.shields.io/badge/dependencies-4/56-green?style=flat"
"fma",1,69,1,60,1,54,2,2,"https://img.shields.io/badge/dependencies-1/54-green?style=flat"
"FMAdist",8,66,6,58,5,51,0,0,"https://img.shields.io/badge/dependencies-5/51-orange?style=flat"
"fmbasics",7,24,4,19,4,19,0,0,"https://img.shields.io/badge/dependencies-4/19-green?style=flat"
"FMC",3,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FMCCSD",5,11,5,6,5,6,0,0,"https://img.shields.io/badge/dependencies-5/6-orange?style=flat"
"fmcmc",5,10,2,3,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"fmdates",4,7,2,4,2,4,1,1,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"FME",10,14,6,8,5,6,9,9,"https://img.shields.io/badge/dependencies-5/6-orange?style=flat"
"FMP",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FMradio",7,58,5,50,4,45,0,0,"https://img.shields.io/badge/dependencies-4/45-green?style=flat"
"fmri",9,14,3,7,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"fmriqa",12,79,10,70,10,65,0,0,"https://img.shields.io/badge/dependencies-10/65-red?style=flat"
"fmsb",0,0,0,0,0,0,3,3,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FMsmsnReg",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FMStable",0,0,0,0,0,0,1,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fMultivar",10,25,6,18,6,14,3,5,"https://img.shields.io/badge/dependencies-6/14-orange?style=flat"
"FNN",0,0,0,0,0,0,56,187,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fNonlinear",5,12,3,7,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"foba",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FOCI",5,8,4,4,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"focusedMDS",2,10,1,7,1,7,0,0,"https://img.shields.io/badge/dependencies-1/7-green?style=flat"
"foghorn",9,34,9,29,9,29,0,0,"https://img.shields.io/badge/dependencies-9/29-orange?style=flat"
"foieGras",15,89,14,80,14,71,0,0,"https://img.shields.io/badge/dependencies-14/71-red?style=flat"
"folderfun",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fontBitstreamVera",0,0,0,0,0,0,1,3,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fontcm",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fontHind",3,73,3,65,3,60,0,0,"https://img.shields.io/badge/dependencies-3/60-green?style=flat"
"fontLiberation",0,0,0,0,0,0,1,3,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fontMPlus",3,73,3,65,3,60,0,0,"https://img.shields.io/badge/dependencies-3/60-green?style=flat"
"fontquiver",2,2,2,2,2,2,2,2,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"foodingraph",14,77,13,68,13,63,0,0,"https://img.shields.io/badge/dependencies-13/63-red?style=flat"
"foodweb",1,44,1,38,1,37,0,0,"https://img.shields.io/badge/dependencies-1/37-green?style=flat"
"foolbox",2,2,2,2,2,2,1,1,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"fOptions",6,12,3,7,3,5,5,9,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"forams",4,15,1,8,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"forcats",4,19,4,15,4,15,68,560,"https://img.shields.io/badge/dependencies-4/15-green?style=flat"
"foreach",3,3,2,2,1,1,527,1062,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ForeCA",6,17,4,11,3,10,2,2,"https://img.shields.io/badge/dependencies-3/10-green?style=flat"
"forecast",15,68,12,59,11,53,87,110,"https://img.shields.io/badge/dependencies-11/53-red?style=flat"
"ForecastComb",7,79,7,70,6,63,0,0,"https://img.shields.io/badge/dependencies-6/63-orange?style=flat"
"ForecastCombinations",3,12,2,6,2,4,1,1,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"ForecastFramework",7,34,7,29,7,29,0,0,"https://img.shields.io/badge/dependencies-7/29-orange?style=flat"
"forecastHybrid",7,79,7,70,7,63,3,4,"https://img.shields.io/badge/dependencies-7/63-orange?style=flat"
"forecastML",12,71,11,62,11,56,0,0,"https://img.shields.io/badge/dependencies-11/56-red?style=flat"
"forecastSNSTS",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ForecastTB",13,97,9,88,9,81,0,0,"https://img.shields.io/badge/dependencies-9/81-orange?style=flat"
"forecTheta",3,69,2,60,2,54,1,1,"https://img.shields.io/badge/dependencies-2/54-green?style=flat"
"foreign",3,3,0,0,0,0,70,897,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"forensic",2,11,2,6,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"forensim",4,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"foreSIGHT",11,66,7,57,7,51,0,0,"https://img.shields.io/badge/dependencies-7/51-orange?style=flat"
"forestChange",15,84,11,75,11,69,0,0,"https://img.shields.io/badge/dependencies-11/69-red?style=flat"
"forestControl",5,26,5,22,5,22,0,0,"https://img.shields.io/badge/dependencies-5/22-orange?style=flat"
"ForestDisc",4,4,3,3,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"forestError",2,5,2,4,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"ForestFit",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ForestGapR",9,71,7,62,7,56,0,0,"https://img.shields.io/badge/dependencies-7/56-orange?style=flat"
"forestHES",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"forestinventory",5,62,3,54,3,49,0,0,"https://img.shields.io/badge/dependencies-3/49-green?style=flat"
"forestmangr",24,127,21,118,21,110,0,0,"https://img.shields.io/badge/dependencies-21/110-red?style=flat"
"forestmodel",5,67,5,59,5,54,3,3,"https://img.shields.io/badge/dependencies-5/54-orange?style=flat"
"forestplot",3,5,2,3,2,3,11,12,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"forestr",9,65,7,57,7,52,0,0,"https://img.shields.io/badge/dependencies-7/52-orange?style=flat"
"forestRK",9,76,7,68,7,61,0,0,"https://img.shields.io/badge/dependencies-7/61-orange?style=flat"
"forestSAS",1,20,1,13,1,8,0,0,"https://img.shields.io/badge/dependencies-1/8-green?style=flat"
"ForestTools",12,61,10,52,10,45,0,0,"https://img.shields.io/badge/dependencies-10/45-red?style=flat"
"foretell",2,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"forge",2,2,2,2,2,2,6,19,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"ForImp",3,55,3,47,3,43,0,0,"https://img.shields.io/badge/dependencies-3/43-green?style=flat"
"ForIT",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FormalSeries",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"formatR",0,0,0,0,0,0,12,60,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"formattable",5,25,4,20,4,20,11,11,"https://img.shields.io/badge/dependencies-4/20-green?style=flat"
"Formula",1,1,0,0,0,0,145,648,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"formula.tools",3,3,1,1,1,1,13,18,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"formulaic",1,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"formulops",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"forrel",5,19,5,13,5,11,0,0,"https://img.shields.io/badge/dependencies-5/11-orange?style=flat"
"fortunes",1,1,0,0,0,0,1,4,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"forward",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"forwards",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ForwardSearch",1,6,1,2,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"fossil",3,11,3,5,3,3,2,2,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"FossilSim",2,22,2,14,2,11,0,0,"https://img.shields.io/badge/dependencies-2/11-green?style=flat"
"foto",3,10,1,4,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"FourgameteP",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fourierin",3,5,2,2,2,2,1,1,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"fourPNO",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"FourScores",2,2,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fpa",2,11,2,7,2,7,0,0,"https://img.shields.io/badge/dependencies-2/7-green?style=flat"
"fpc",15,21,9,13,6,8,19,29,"https://img.shields.io/badge/dependencies-6/8-orange?style=flat"
"fpca",2,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FPCA2D",5,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FPCA3D",4,4,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fpCompare",0,0,0,0,0,0,5,8,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FPDclustering",5,12,5,6,4,5,0,0,"https://img.shields.io/badge/dependencies-4/5-green?style=flat"
"fpeek",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"fpest",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fplot",8,9,4,4,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"fplyr",3,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"fpmoutliers",10,26,8,18,7,15,0,0,"https://img.shields.io/badge/dependencies-7/15-orange?style=flat"
"fpop",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fPortfolio",18,45,13,37,12,32,2,2,"https://img.shields.io/badge/dependencies-12/32-red?style=flat"
"fpow",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fpp",7,71,5,62,5,56,0,0,"https://img.shields.io/badge/dependencies-5/56-orange?style=flat"
"fpp2",4,71,4,62,4,56,0,0,"https://img.shields.io/badge/dependencies-4/56-green?style=flat"
"fpp3",15,71,15,63,15,58,0,0,"https://img.shields.io/badge/dependencies-15/58-red?style=flat"
"fptdApprox",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FPV",2,6,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"fracdiff",1,1,0,0,0,0,14,116,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fracprolif",4,6,2,3,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"fractal",7,11,6,6,5,5,3,3,"https://img.shields.io/badge/dependencies-5/5-orange?style=flat"
"fractaldim",1,3,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FractalParameterEstimation",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FRACTION",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fractional",1,3,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"fragility",6,68,3,59,3,53,0,0,"https://img.shields.io/badge/dependencies-3/53-green?style=flat"
"fragilityindex",5,18,3,8,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"Fragman",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"frailtyEM",9,60,9,52,7,46,0,0,"https://img.shields.io/badge/dependencies-7/46-orange?style=flat"
"frailtyHL",4,11,3,4,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"frailtypack",14,71,14,62,10,56,2,2,"https://img.shields.io/badge/dependencies-10/56-red?style=flat"
"frailtySurv",7,61,6,53,5,47,0,0,"https://img.shields.io/badge/dependencies-5/47-orange?style=flat"
"frair",5,19,3,11,2,7,0,0,"https://img.shields.io/badge/dependencies-2/7-green?style=flat"
"frambgrowth",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Frames2",3,9,3,4,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"franc",1,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FRAPO",4,12,3,7,3,7,1,1,"https://img.shields.io/badge/dependencies-3/7-green?style=flat"
"frapplot",4,4,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"frbs",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FRCC",4,9,4,4,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"FrechForest",6,60,4,52,4,47,0,0,"https://img.shields.io/badge/dependencies-4/47-green?style=flat"
"freealg",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"freegroup",4,7,3,5,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"FreeSortR",4,141,3,132,3,119,0,0,"https://img.shields.io/badge/dependencies-3/119-green?style=flat"
"freesurfer",6,23,3,16,3,16,0,0,"https://img.shields.io/badge/dependencies-3/16-green?style=flat"
"freesurferformats",2,7,2,5,2,5,2,2,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"freetypeharfbuzz",1,3,1,3,1,3,1,1,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"fRegression",10,22,7,15,5,8,0,0,"https://img.shields.io/badge/dependencies-5/8-orange?style=flat"
"FRegSigCom",4,11,4,5,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"FREQ",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"freqdist",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"freqdom",6,7,2,2,2,2,3,3,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"freqdom.fda",6,13,3,6,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"freqparcoord",5,62,4,53,4,48,1,1,"https://img.shields.io/badge/dependencies-4/48-green?style=flat"
"FreqProf",3,69,3,61,3,56,0,0,"https://img.shields.io/badge/dependencies-3/56-green?style=flat"
"frequency",6,75,5,67,5,62,0,0,"https://img.shields.io/badge/dependencies-5/62-orange?style=flat"
"frequencyConnectedness",5,29,4,21,4,18,0,0,"https://img.shields.io/badge/dependencies-4/18-green?style=flat"
"frequentdirections",1,54,1,46,1,41,0,0,"https://img.shields.io/badge/dependencies-1/41-green?style=flat"
"FRESA.CAD",6,86,6,78,6,68,0,0,"https://img.shields.io/badge/dependencies-6/68-orange?style=flat"
"fresh",4,25,4,20,4,20,0,0,"https://img.shields.io/badge/dependencies-4/20-green?style=flat"
"FrF2",6,26,4,20,4,17,7,10,"https://img.shields.io/badge/dependencies-4/17-green?style=flat"
"FrF2.catlg128",1,27,1,21,1,18,1,1,"https://img.shields.io/badge/dependencies-1/18-green?style=flat"
"FRK",14,96,10,88,9,78,1,1,"https://img.shields.io/badge/dependencies-9/78-orange?style=flat"
"fRLR",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"frm",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"frmhet",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"frmpd",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"frmqa",2,10,2,5,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"fromo",2,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"frontier",7,28,6,21,6,18,0,0,"https://img.shields.io/badge/dependencies-6/18-orange?style=flat"
"frontiles",5,53,4,46,4,41,0,0,"https://img.shields.io/badge/dependencies-4/41-green?style=flat"
"frost",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"frt",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fs",1,1,0,0,0,0,52,256,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FSA",13,76,8,67,8,59,1,1,"https://img.shields.io/badge/dependencies-8/59-orange?style=flat"
"FSAdata",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"fsbrain",7,58,7,51,7,50,0,0,"https://img.shields.io/badge/dependencies-7/50-orange?style=flat"
"fscaret",5,91,3,81,3,70,0,0,"https://img.shields.io/badge/dependencies-3/70-green?style=flat"
"fsdaR",5,61,3,52,3,47,0,0,"https://img.shields.io/badge/dependencies-3/47-green?style=flat"
"FSelector",4,11,4,6,4,6,4,4,"https://img.shields.io/badge/dependencies-4/6-green?style=flat"
"FSelectorRcpp",6,36,6,30,6,29,1,1,"https://img.shields.io/badge/dependencies-6/29-orange?style=flat"
"fsia",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"FSinR",14,96,14,87,12,76,0,0,"https://img.shields.io/badge/dependencies-12/76-red?style=flat"
"FSInteract",3,9,2,3,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"FSK2R",17,72,15,67,15,67,0,0,"https://img.shields.io/badge/dependencies-15/67-red?style=flat"
"fslr",8,17,3,10,3,10,1,1,"https://img.shields.io/badge/dependencies-3/10-green?style=flat"
"fsMTS",5,14,5,8,5,7,0,0,"https://img.shields.io/badge/dependencies-5/7-orange?style=flat"
"FSMUMI",3,28,2,21,2,21,0,0,"https://img.shields.io/badge/dependencies-2/21-green?style=flat"
"fso",1,16,1,9,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"fSRM",10,67,8,57,7,51,0,0,"https://img.shields.io/badge/dependencies-7/51-orange?style=flat"
"fssemR",11,26,9,18,7,14,0,0,"https://img.shields.io/badge/dependencies-7/14-orange?style=flat"
"FSSF",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
